Name,Year,Date,Copies1stWeek,CopiesTotal,Platform,Company,CERO,NoLI,NoFemale,NoFemaleLI,NoFemaleFI,NoLGBT,NoCDM,NoCDF,,Memo
Will o' Wisp（ウィル・オ・ウィスプ）,2007,7/9/06,,,PSP,アイディアファクトリー,B,5,2,0,1,0,0,0,,セーラ・マープル、ハドソン
ハートの国のアリス～ Wonderful Wonder World ～,2007,7/2/14,,,PC,"
QuinRose",C,11,3,0,1,0,0,0,,夜久月子，金久保綾子，金久保環，金久保詩，金久保奏，春名真琴
金色のコルダ2,2007,7/3/15,35914,46675,PS2,コーエー,A,10,2,0,1,0,0,0,,夜久月子，水嶋有李，陽日直美，春名真琴
Real Rode,2008,8/12/04,,5600,PS2,HuneX,B,9,2,0,0,0,0,0,,夜久月子，高梨あい，青空風音，天羽志乃
遙かなる時空の中で4,2008,8/6/19,,,PS2,コーエー,B,8,3,0,0,0,0,0,,ミセリア、フェミナ
あさき、ゆめみし,2008,8/7/25,,,PC,澪,C,8,5,0,2,0,0,0,,久世ツグミ(主人公)，朱鷺宮 栞(ツグミ上司)，柾 小瑠璃(ツグミ朋友)
翡翠の雫　緋色の欠片2,2009,9/10/01,,,PS2,アイディアファクトリー,B,6,8,0,0,0,0,0,,上野槐  三云伽罗  霞
薄桜鬼系列,2009,9/8/27,,,PSP,デザインファクトリー,C,6,3,0,0,0,0,0,,
銀の冠碧の涙,2009,9/5/29,,,PC,Aromarie,Z,5,1,0,0,0,0,0,,
Starry☆Sky ～in Summer～ Portable,2010,10/9/30,19264,44528,PSP,honeybee,B,3,1,0,0,0,0,0,,
STORM LOVER,2010,10/8/05,20087,27150,PSP,D3パブリッシャー,B,7,4,0,0,0,0,0,,ニア（有（官网写着是恋爱但我感觉只能算友情）END）
ワンド オブ フォーチュン ポータブル,2010,10/6/10,4547,20585,PSP,"
アイディアファクトリー",B,7,7,0,0,0,0,0,,星野市香(主人公)
華ヤカ哉、我ガ一族,2010,10/8/11,,,Switch,オトメイト,C,7,9,0,0,0,0,0,,藤枝ネリ
三国恋戦記～オトメの兵法！,2010,10/3/19,,,PC,Daisy2,-,11,3,0,0,0,0,0,,瀨名ヒヨリ(主人公)，射落ミズキ(未知性別攻略角色，從故事開始至結局一直性別不明)
Starry☆Sky ～in Autumn～ Portable,2010,10/12/22,12471,35266,PSP,honeybee,B,3,2,0,0,0,0,0,,
